An,Bn
3.21884498480243,16.15
3.21884498480243,17.45
3.21884498480243,17.5
3.21884498480243,17.55
3.21884498480243,18.05
3.21884498480243,18.5
3.21884498480243,18.7
3.21884498480243,19.05
3.21884498480243,19.6
3.21884498480243,20.55
3.21884498480243,20.55
3.21884498480243,21.95
3.21884498480243,22.65
3.21884498480243,23.8
3.21884498480243,24.8
3.22222222222222,22.5
3.22222222222222,25.3
3.22222222222222,25.45
3.22222222222222,26.5
3.22222222222222,30.5
3.22222222222222,32.6
3.22222222222222,33.4
3.22222222222222,34
3.22222222222222,34.2
3.22222222222222,34.6
3.22222222222222,34.95
3.22222222222222,36.95
3.22222222222222,37.1
3.22222222222222,38.55
3.22222222222222,38.6
3.22222222222222,43.25
3.22222222222222,43.4
3.22222222222222,44.55
3.22222222222222,46.45
3.22222222222222,52.7
3.26797385620915,16
3.26797385620915,20.75
3.26797385620915,22.2
3.26797385620915,23.5
3.26797385620915,23.55
3.26797385620915,23.85
3.26797385620915,24.95
3.26797385620915,26.1
3.26797385620915,26.2
3.26797385620915,26.55
3.26797385620915,26.75
3.26797385620915,26.95
3.26797385620915,27.15
3.26797385620915,27.55
3.26797385620915,27.6
3.26797385620915,30.85
3.26797385620915,31.25
3.26797385620915,32.55
3.26797385620915,33.1
3.26797385620915,34.35
3.28761061946903,26.35
3.28761061946903,27.45
3.28761061946903,28.2
3.28761061946903,29.35
3.28761061946903,29.6
3.28761061946903,29.7
3.28761061946903,30
3.28761061946903,30.1
3.28761061946903,30.55
3.28761061946903,30.8
3.28761061946903,30.95
3.28761061946903,31.65
3.28761061946903,32.05
3.28761061946903,32.15
3.28761061946903,32.3
3.28761061946903,32.4
3.28761061946903,32.45
3.28761061946903,32.85
3.28761061946903,35.3
3.28761061946903,36.65
3.44961240310078,11.25
3.44961240310078,12.2
3.44961240310078,12.85
3.44961240310078,13.6
3.44961240310078,15.2
3.44961240310078,15.45
3.44961240310078,15.9
3.44961240310078,16.05
3.44961240310078,16.5
3.44961240310078,16.65
3.44961240310078,16.7
3.44961240310078,16.7
3.44961240310078,17.05
3.44961240310078,17.5
3.44961240310078,17.65
3.44961240310078,18.65
3.44961240310078,18.85
3.44961240310078,19.7
3.44961240310078,20
3.44961240310078,20.7
3.48096885813149,14.9
3.48096885813149,14.9
3.48096885813149,14.95
3.48096885813149,15.2
3.48096885813149,15.8
3.48096885813149,15.9
3.48096885813149,15.95
3.48096885813149,16.2
3.48096885813149,16.35
3.48096885813149,16.9
3.48096885813149,17.05
3.48096885813149,17.05
3.48096885813149,17.7
3.48096885813149,17.75
3.48096885813149,18.25
3.48096885813149,18.6
3.48096885813149,18.75
3.48096885813149,19.15
3.48096885813149,19.65
3.48571428571429,29.55
3.48571428571429,30.25
3.48571428571429,31.1
3.48571428571429,32.05
3.48571428571429,33.45
3.48571428571429,33.7
3.48571428571429,33.8
3.48571428571429,33.9
3.48571428571429,34.45
3.48571428571429,34.5
3.48571428571429,34.8
3.48571428571429,35.95
3.48571428571429,36.25
3.48571428571429,36.6
3.48571428571429,36.75
3.48571428571429,37.3
3.48571428571429,37.7
3.48571428571429,37.75
3.48571428571429,37.75
3.48571428571429,37.85
3.64735516372796,29.65
3.64735516372796,31.1
3.64735516372796,31.35
3.64735516372796,32.45
3.64735516372796,33.8
3.64735516372796,33.85
3.64735516372796,34
3.64735516372796,35.05
3.64735516372796,35.85
3.64735516372796,36.1
3.64735516372796,36.25
3.64735516372796,37.2
3.64735516372796,40.8
3.64735516372796,42.5
3.64735516372796,42.7
3.64735516372796,44.85
3.64735516372796,45.45
3.64735516372796,46
